city,area,address,publishdate
深圳市,南山区,沙河街道沙河东路世纪村,20200131
深圳市,南山区,鸿丰大酒店,20200131
深圳市,南山区,科技园华润城,20200131
深圳市,南山区,华侨城香山美墅,20200131
深圳市,南山区,大冲宿禾服务式公寓,20200131
深圳市,南山区,锦绣花园,20200131
深圳市,南山区,蛇口街道东角头港湾花园,20200131
深圳市,南山区,蔚蓝海岸,20200131
深圳市,南山区,蛇口街道四海公寓,20200131
深圳市,南山区,宝能太古城北区,20200131
深圳市,南山区,蓝月湾畔,20200131
深圳市,南山区,丽山路西湖林语,20200131
深圳市,南山区,西丽阳光工业区,20200131
深圳市,南山区,蛇口街道海境界,20200131
深圳市,南山区,南头街道麒麟花园,20200131
深圳市,南山区,中洲万豪酒店,20200131
深圳市,南山区,西丽街道德意名居,20200131
深圳市,南山区,海岸明珠,20200131
深圳市,南山区,半岛城邦,20200131
深圳市,南山区,南山街道友邻公寓,20200131
深圳市,南山区,南山街道现代城华庭,20200131
深圳市,南山区,南山街道阳光棕榈园,20200131
深圳市,福田区,?莲花街道景蜜村,20200131
深圳市,福田区,香蜜新村东区,20200131
深圳市,福田区,华富街道福莲花园,20200131
深圳市,福田区,侨香村,20200131
深圳市,福田区,碧华庭居翠园,20200131
深圳市,福田区,福华新村,20200131
深圳市,福田区,福港路西阳光城市,20200131
深圳市,福田区,越众小区,20200131
深圳市,福田区,沙嘴村一坊,20200131
深圳市,福田区,竹子林越海家园依山阁,20200131
深圳市,福田区,福保街道明月花园,20200131
深圳市,福田区,华强北街道航苑大厦西座,20200131
深圳市,福田区,福保街道红树福苑,20200131
深圳市,福田区,益田花园豪园居,20200131
深圳市,福田区,园岭新村,20200131
深圳市,福田区,南园街道南园路232号工行公寓,20200131
深圳市,福田区,梅东三路半山御景,20200131
深圳市,龙华区,民治街道丰泽湖山庄,20200131
深圳市,龙华区,龙华圆酒店,20200131
深圳市,龙华区,观澜湖高尔夫大宅昆士顿区,20200131
深圳市,龙华区,民治街道金地梅陇镇,20200131
深圳市,龙华区,龙华街道新华苑2期,20200131
深圳市,龙华区,民治街道翔龙御庭,20200131
深圳市,龙华区,金地上塘道1期,20200131
深圳市,龙华区,观湖街道招商观园,20200131
深圳市,龙华区,华业玫瑰四季2期,20200131
深圳市,龙华区,民治街道梅龙苑,20200131
深圳市,龙华区,观湖街道懿花园,20200131
深圳市,龙华区,观澜街道华盛峰荟名庭2期,20200131
深圳市,龙岗区,嘉霖·龙禧（龙禧雅苑）,20200131
深圳市,龙岗区,华浩源,20200131
深圳市,龙岗区,坂田街道荔园新村,20200131
深圳市,龙岗区,龙城街道万象天成,20200131
深圳市,龙岗区,布吉街道百合山庄,20200131
深圳市,龙岗区,平湖特力商厦,20200131
深圳市,龙岗区,中海康城,20200131
深圳市,龙岗区,龙城街道东方沁园,20200131
深圳市,龙岗区,布澜路尚峰花园,20200131
深圳市,龙岗区,龙岗街道宝能悦澜山,20200131
深圳市,宝安区,桃源居,20200131
深圳市,宝安区,航城街道南航明珠花园,20200131
深圳市,宝安区,新安街道35区安乐花园,20200131
深圳市,宝安区,石岩街道伊隆达工业园,20200131
深圳市,宝安区,宝安大道与裕安一路交汇处卡罗社区,20200131
深圳市,宝安区,松岗街道碧头社区华都公寓,20200131
深圳市,宝安区,前海铂寓,20200131
深圳市,宝安区,福永街道星航华府,20200131
深圳市,宝安区,西乡我们家公寓（海湾家2号楼）,20200131
深圳市,宝安区,明玉路11号花样年·花郡,20200131
深圳市,罗湖区,罗湖村五坊,20200131
深圳市,罗湖区,田贝二路金翠园,20200131
深圳市,罗湖区,红桂路红桂一街50号环保大院,20200131
深圳市,罗湖区,长城大酒店,20200131
深圳市,坪山区,龙田街道东城大厦维也纳酒店,20200131
深圳市,坪山区,龙田街道金茂园酒店,20200131
深圳市,坪山区,坪山街道万科金域缇香,20200131
深圳市,坪山区,坪山街道易林源酒店,20200131
深圳市,益田区,?沙头角街道上东湾,20200131
深圳市,光明区,?公明街道振明路南庄合众豪庭后面三巷,20200131
深圳市,大鹏新区,?万豪酒店,20200131
深圳市,南山区,?西海湾花园,20200101
深圳市,南山区,后海雅园,20200101
深圳市,南山区,雍景轩赏湖阁,20200101
深圳市,南山区,桑泰丹华府三期,20200101
深圳市,南山区,佳兆业前海广场,20200101
深圳市,南山区,阳光华艺大厦B座,20200101
深圳市,福田区,?福华路维也纳酒店,20200101
深圳市,福田区,八卦四路意馨居,20200101
深圳市,福田区,景田天健花园,20200101
深圳市,龙华区,春花四季园,20200101
深圳市,宝安区,万象新天使2期,20200101
深圳市,福田区,新世界伟瑞酒店,20200204
深圳市,福田区,福滨新村,20200204
深圳市,福田区,福祥街2号1栋,20200204
深圳市,福田区,梅林街道兰江山第,20200204
深圳市,福田区,益田村,20200204
深圳市,福田区,景田北景龙大厦,20200204
深圳市,罗湖区,翠华花园,20200204
深圳市,罗湖区,泥岗西路自来水公司大院,20200204
深圳市,罗湖区,合正荣悦府,20200204
深圳市,罗湖区,梧桐山社区赤水洞村,20200204
深圳市,罗湖区,百仕达花园5期,20200204
深圳市,罗湖区,大望社区新田村,20200204
深圳市,宝安区,海华社区自由北小区,20200204
深圳市,宝安区,松茂·御龙湾,20200204
深圳市,宝安区,深航幸福花园,20200204
深圳市,宝安区,塘尾社区蚝二佳仕泰科技园宿舍,20200204
深圳市,龙岗区,桂芳园八期,20200204
深圳市,龙岗区,中骏四季阳光一期,20200204
深圳市,龙岗区,平湖山厦社区梨头廖,20200204
深圳市,龙岗区,招商依山郡,20200204
深圳市,南山区,白石洲东四坊,20200204
深圳市,南山区,登良花园,20200204
深圳市,光明区,个传麒山,20200204
深圳市,龙岗区,?回龙埔万科翰邻城,20200101
深圳市,龙岗区,大族河山,20200101
深圳市,龙岗区,华创云轩B座,20200101
深圳市,龙岗区,秀丽山庄,20200101
深圳市,龙岗区,中央悦城,20200101
